pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
WR,21,Golden Tate      ,SEA,12,,25,3,188,,,,,
WR,22,Mike Wallace,MIA,6,,27,4,188,,,,,
WR,23,Pierre Garcon,WAS,5,,26,5,187,,,,,
WR,24,Danario Alexander,SD,8,,24,3,184,,,,,
WR,25,Tavon Austin,STL,11,,22,R,184,,,,,
WR,26,Wes Welker,DEN,9,,32,9,179,,,,,
WR,27,Reggie Wayne,IND,8,,34,12,178,,,,,
WR,28,Josh Gordon,CLE,10,,22,1,174,,,,,
WR,29,Anquan Boldin  ,SF,9,,32,10,172,,,,,
WR,30,Stevie Johnson  ,BUF,12,,27,5,170,,,,,
WR,31,Michael Floyd  ,ARI,9,,23,1,169,,,,,
WR,32,T.Y. Hilton  ,IND,8,,23,1,168,,,,,
WR,33,Mike Williams  ,TB,5,,26,3,165,,,,,
WR,34,Cecil Shorts,JAX,9,,25,2,165,,,,,
WR,35,Steve Smith,CAR,4,,34,12,165,,,,,
WR,36,DeSean Jackson,PHI,12,,26,5,164,,,,,
WR,37,Denarius Moore  ,OAK,7,,24,2,164,,,,,
WR,38,Justin Blackmon,JAX,9,,23,1,163,,,,,
WR,39,Emmanuel Sanders,PIT,5,,26,3,162,,,,,
WR,40,Miles Austin,DAL,11,,29,7,159,,,,,
WR,41,Greg Jennings,MIN,5,,29,7,154,,,,,
WR,42,Brandon LaFell  ,CAR,4,,26,3,153,,,,,
WR,43,James Jones  ,GB,4,,29,6,153,,,,,
WR,44,Kenny Britt  ,TEN,8,,24,4,148,,,,,
WR,45,Kendall Wright,TEN,8,,23,1,140,,,,,
WR,46,Vincent Brown,SD,8,,24,2,133,,,,,
WR,47,DeAndre Hopkins  ,HOU,8,,21,R,130,,,,,
WR,48,Stephen Hill,NYJ,10,,22,1,130,,,,,
WR,49,Lance Moore,NO,7,,29,8,127,,,,,
WR,50,Alshon Jeffery,CHI,8,,23,1,124,,,,,
WR,51,Brian Hartline,MIA,6,,26,4,121,,,,,
WR,52,Andre Roberts,ARI,9,,25,3,117,,,,,
WR,53,Ryan Broyles,DET,9,,25,1,117,,,,,
WR,54,Mohamed Sanu,CIN,12,,23,1,112,,,,,
WR,55,Cordarrelle Patterson,MIN,5,,22,R,111,,,,,
WR,56,Darrius Heyward-Bey    ,IND,8,,26,4,108,,,,,
WR,57,Chris Givens,STL,11,,23,1,108,,,,,
WR,58,Sidney Rice  ,SEA,12,,26,6,108,,,,,
WR,59,Jeremy Kerley,NYJ,10,,24,2,108,,,,,
WR,60,Greg Little,CLE,10,,24,2,106,,,,,
WR,61,Rueben Randle  ,NYG,9,,22,1,106,,,,,
WR,62,Jacoby Ford,OAK,7,,26,3,105,,,,,
WR,63,Robert Woods  ,BUF,12,,21,R,103,,,,,
WR,64,Leonard Hankerson,WAS,5,,25,2,103,,,,,
WR,65,Riley Cooper  ,PHI,12,,25,3,102,,,,,
WR,66,Malcom Floyd,SD,8,,31,9,100,,,,,
WR,67,Dexter McCluster  ,KC,10,,24,3,98,,,,,
WR,68,Julian Edelman  ,NE,10,,27,4,97,,,,,
WR,69,Jason Avant  ,PHI,12,,30,7,94,,,,,
WR,70,Jacoby Jones,BAL,8,,29,6,93,,,,,
WR,71,Kevin Ogletree,TB,5,,26,4,93,,,,,
WR,72,Terrance Williams  ,DAL,11,,23,R,91,,,,,
WR,73,Davone Bess,CLE,10,,27,5,91,,,,,
WR,74,Andrew Hawkins  ,CIN,12,,27,2,90,,,,,
WR,75,Aaron Dobson    ,NE,10,,22,R,86,,,,,
WR,76,Joseph Morgan  ,NO,7,,25,2,86,,,,,
WR,77,Brian Quick,STL,11,,24,1,84,,,,,
WR,78,Earl Bennett,CHI,8,,26,5,82,,,,,
WR,79,Jon Baldwin,KC,10,,23,2,80,,,,,
WR,80,Nate Burleson,DET,9,,31,10,78,,,,,
WR,81,Da'Rick Rogers,BUF,12,,22,R,75,,,,,
WR,82,Domenik Hixon,CAR,4,,28,7,74,,,,,
WR,83,Harry Douglas,ATL,6,,28,5,74,,,,,
WR,84,Dwayne Harris  ,DAL,11,,25,2,72,,,,,
WR,85,Santana Moss  ,WAS,5,,34,12,72,,,,,
WR,86,Marvin Jones,CIN,12,,23,1,72,,,,,
WR,87,Rod Streater  ,OAK,7,,25,1,72,,,,,
WR,88,Braylon Edwards,NYJ,10,,30,8,71,,,,,
WR,89,Markus Wheaton,PIT,5,,22,R,70,,,,,
WR,90,LaVon Brazill,IND,8,,24,1,70,,,,,
WR,91,T.J. Graham,BUF,12,,24,1,70,,,,,
WR,92,Nate Washington,TEN,8,,29,8,69,,,,,
WR,93,Jerome Simpson,MIN,5,,27,5,69,,,,,
WR,94,Tiquan Underwood,TB,5,,26,4,66,,,,,
WR,95,Keenan Allen,SD,8,,21,R,65,,,,,
WR,96,Deonte Thompson,BAL,8,,24,1,65,,,,,
WR,97,Josh Morgan,WAS,5,,28,5,64,,,,,
WR,98,Devin Aromashodu,---,0,,29,7,64,,,,,
WR,99,Mohamed Massaquoi,JAX,9,,26,4,62,,,,,
WR,100,A.J. Jenkins  ,SF,9,,22,1,60,,,,,
WR,101,Derek Hagan,---,0,,28,7,58,,,,,
WR,102,Jerricho Cotchery,PIT,5,,31,9,58,,,,,
WR,103,Santonio Holmes  ,NYJ,10,,29,7,58,,,,,
WR,104,Austin Collie,SF,9,,27,4,57,,,,,
